raceId,driverId,constructorId,number,grid,position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
Australian Grand Prix,hulkenberg,force_india,27,7,6,8,57,+50.718,5629428,56,2,1:32.568,206.235,Finished
Australian Grand Prix,raikkonen,ferrari,7,11,7,6,57,+57.675,5636385,56,8,1:33.210,204.814,Finished
Australian Grand Prix,vergne,toro_rosso,25,6,8,4,57,+1:00.441,5639151,56,10,1:33.691,203.763,Finished
Australian Grand Prix,kvyat,toro_rosso,26,8,9,2,57,+1:03.585,5642295,35,11,1:33.864,203.387,Finished
Australian Grand Prix,perez,force_india,11,16,10,1,57,+1:25.916,5664626,38,4,1:32.634,206.088,Finished
Australian Grand Prix,sutil,sauber,99,13,11,0,56,,,34,9,1:33.366,204.472,+1 Lap
Australian Grand Prix,gutierrez,sauber,21,20,12,0,56,,,41,13,1:34.564,201.882,+1 Lap
Australian Grand Prix,chilton,marussia,4,17,13,0,55,,,33,12,1:34.202,202.658,+2 Laps
Australian Grand Prix,jules_bianchi,marussia,17,18,14,0,49,,,55,16,1:35.635,199.621,+8 Laps
Australian Grand Prix,grosjean,lotus_f1,8,22,15,0,43,,,41,15,1:35.281,200.363,ERS
Australian Grand Prix,maldonado,lotus_f1,13,21,16,0,29,,,30,14,1:34.766,201.451,ERS
Australian Grand Prix,ericsson,caterham,9,19,17,0,27,,,17,18,1:37.332,196.141,Oil pressure
Australian Grand Prix,vettel,red_bull,1,12,18,0,3,,,26,17,1:37.064,196.682,Engine
Australian Grand Prix,hamilton,mercedes,44,1,19,0,2,,,2,20,1:49.947,173.636,Engine
Australian Grand Prix,massa,williams,19,9,20,0,0,,,2,19,1:40.287,190.361,Collision
Australian Grand Prix,kobayashi,caterham,10,14,21,0,0,,,,,,,Collision
Australian Grand Prix,ricciardo,red_bull,3,2,22,0,57,+24.525,5603235,,,,,Disqualified
Australian Grand Prix,hamilton,mercedes,44,1,1,25,58,1:31:54.067,5514067,50,1,1:30.945,209.915,Finished
Australian Grand Prix,rosberg,mercedes,6,2,2,18,58,+1.360,5515427,47,2,1:31.092,209.577,Finished
Australian Grand Prix,vettel,ferrari,5,4,3,15,58,+34.523,5548590,52,4,1:31.457,208.740,Finished
Australian Grand Prix,massa,williams,19,3,4,12,58,+38.196,5552263,50,6,1:31.719,208.144,Finished
Australian Grand Prix,nasr,sauber,12,10,5,10,58,+1:35.149,5609216,46,9,1:32.612,206.137,Finished
